Configuration,T_p,T_u,T_s,AcceptanceRate,PrivacyPass,UtilityPass,SpeakerPass,n_chunks
LLM-Mem-SS,0.50,0.50,0.50,0.0767,0.3158,0.9072,0.1160,1121
LLM-Mem-SS,0.50,0.55,0.50,0.0740,0.3158,0.8903,0.1160,1121
LLM-Mem-SS,0.50,0.60,0.50,0.0740,0.3158,0.8903,0.1160,1121
LLM-Mem-SS,0.50,0.65,0.50,0.0740,0.3158,0.8903,0.1160,1121
LLM-Mem-SS,0.50,0.70,0.50,0.0223,0.3158,0.4460,0.1160,1121
LLM-Mem-SS,0.50,0.75,0.50,0.0223,0.3158,0.4460,0.1160,1121
LLM-Mem-SS,0.50,0.80,0.50,0.0223,0.3158,0.4460,0.1160,1121
LLM-Mem-SS,0.55,0.50,0.50,0.0714,0.2792,0.9072,0.1160,1121
LLM-Mem-SS,0.55,0.55,0.50,0.0687,0.2792,0.8903,0.1160,1121
LLM-Mem-SS,0.55,0.60,0.50,0.0687,0.2792,0.8903,0.1160,1121
LLM-Mem-SS,0.55,0.65,0.50,0.0687,0.2792,0.8903,0.1160,1121
LLM-Mem-SS,0.55,0.70,0.50,0.0196,0.2792,0.4460,0.1160,1121
LLM-Mem-SS,0.55,0.75,0.50,0.0196,0.2792,0.4460,0.1160,1121
LLM-Mem-SS,0.55,0.80,0.50,0.0196,0.2792,0.4460,0.1160,1121
LLM-Mem-SS,0.60,0.50,0.50,0.0660,0.2480,0.9072,0.1160,1121
LLM-Mem-SS,0.60,0.55,0.50,0.0642,0.2480,0.8903,0.1160,1121
LLM-Mem-SS,0.60,0.60,0.50,0.0642,0.2480,0.8903,0.1160,1121
LLM-Mem-SS,0.60,0.65,0.50,0.0642,0.2480,0.8903,0.1160,1121
LLM-Mem-SS,0.60,0.70,0.50,0.0187,0.2480,0.4460,0.1160,1121
LLM-Mem-SS,0.60,0.75,0.50,0.0187,0.2480,0.4460,0.1160,1121
LLM-Mem-SS,0.60,0.80,0.50,0.0187,0.2480,0.4460,0.1160,1121
LLM-Mem-SS,0.65,0.50,0.50,0.0580,0.2061,0.9072,0.1160,1121
LLM-Mem-SS,0.65,0.55,0.50,0.0562,0.2061,0.8903,0.1160,1121
LLM-Mem-SS,0.65,0.60,0.50,0.0562,0.2061,0.8903,0.1160,1121
LLM-Mem-SS,0.65,0.65,0.50,0.0562,0.2061,0.8903,0.1160,1121
LLM-Mem-SS,0.65,0.70,0.50,0.0161,0.2061,0.4460,0.1160,1121
LLM-Mem-SS,0.65,0.75,0.50,0.0161,0.2061,0.4460,0.1160,1121
LLM-Mem-SS,0.65,0.80,0.50,0.0161,0.2061,0.4460,0.1160,1121
LLM-Mem-SS,0.70,0.50,0.50,0.0544,0.1766,0.9072,0.1160,1121
LLM-Mem-SS,0.70,0.55,0.50,0.0526,0.1766,0.8903,0.1160,1121
LLM-Mem-SS,0.70,0.60,0.50,0.0526,0.1766,0.8903,0.1160,1121
LLM-Mem-SS,0.70,0.65,0.50,0.0526,0.1766,0.8903,0.1160,1121
LLM-Mem-SS,0.70,0.70,0.50,0.0143,0.1766,0.4460,0.1160,1121
LLM-Mem-SS,0.70,0.75,0.50,0.0143,0.1766,0.4460,0.1160,1121
LLM-Mem-SS,0.70,0.80,0.50,0.0143,0.1766,0.4460,0.1160,1121
LLM-Mem-NoSS,0.50,0.50,0.50,0.0705,0.3479,0.8983,0.1133,1121
LLM-Mem-NoSS,0.50,0.55,0.50,0.0696,0.3479,0.8805,0.1133,1121
LLM-Mem-NoSS,0.50,0.60,0.50,0.0696,0.3479,0.8805,0.1133,1121
LLM-Mem-NoSS,0.50,0.65,0.50,0.0696,0.3479,0.8805,0.1133,1121
LLM-Mem-NoSS,0.50,0.70,0.50,0.0259,0.3479,0.4434,0.1133,1121
LLM-Mem-NoSS,0.50,0.75,0.50,0.0259,0.3479,0.4434,0.1133,1121
LLM-Mem-NoSS,0.50,0.80,0.50,0.0259,0.3479,0.4434,0.1133,1121
LLM-Mem-NoSS,0.55,0.50,0.50,0.0616,0.3051,0.8983,0.1133,1121
LLM-Mem-NoSS,0.55,0.55,0.50,0.0607,0.3051,0.8805,0.1133,1121
LLM-Mem-NoSS,0.55,0.60,0.50,0.0607,0.3051,0.8805,0.1133,1121
LLM-Mem-NoSS,0.55,0.65,0.50,0.0607,0.3051,0.8805,0.1133,1121
LLM-Mem-NoSS,0.55,0.70,0.50,0.0232,0.3051,0.4434,0.1133,1121
LLM-Mem-NoSS,0.55,0.75,0.50,0.0232,0.3051,0.4434,0.1133,1121
LLM-Mem-NoSS,0.55,0.80,0.50,0.0232,0.3051,0.4434,0.1133,1121
LLM-Mem-NoSS,0.60,0.50,0.50,0.0562,0.2783,0.8983,0.1133,1121
LLM-Mem-NoSS,0.60,0.55,0.50,0.0553,0.2783,0.8805,0.1133,1121
LLM-Mem-NoSS,0.60,0.60,0.50,0.0553,0.2783,0.8805,0.1133,1121
LLM-Mem-NoSS,0.60,0.65,0.50,0.0553,0.2783,0.8805,0.1133,1121
LLM-Mem-NoSS,0.60,0.70,0.50,0.0196,0.2783,0.4434,0.1133,1121
LLM-Mem-NoSS,0.60,0.75,0.50,0.0196,0.2783,0.4434,0.1133,1121
LLM-Mem-NoSS,0.60,0.80,0.50,0.0196,0.2783,0.4434,0.1133,1121
LLM-Mem-NoSS,0.65,0.50,0.50,0.0517,0.2346,0.8983,0.1133,1121
LLM-Mem-NoSS,0.65,0.55,0.50,0.0508,0.2346,0.8805,0.1133,1121
LLM-Mem-NoSS,0.65,0.60,0.50,0.0508,0.2346,0.8805,0.1133,1121
LLM-Mem-NoSS,0.65,0.65,0.50,0.0508,0.2346,0.8805,0.1133,1121
LLM-Mem-NoSS,0.65,0.70,0.50,0.0196,0.2346,0.4434,0.1133,1121
LLM-Mem-NoSS,0.65,0.75,0.50,0.0196,0.2346,0.4434,0.1133,1121
LLM-Mem-NoSS,0.65,0.80,0.50,0.0196,0.2346,0.4434,0.1133,1121
LLM-Mem-NoSS,0.70,0.50,0.50,0.0464,0.1802,0.8983,0.1133,1121
LLM-Mem-NoSS,0.70,0.55,0.50,0.0464,0.1802,0.8805,0.1133,1121
LLM-Mem-NoSS,0.70,0.60,0.50,0.0464,0.1802,0.8805,0.1133,1121
LLM-Mem-NoSS,0.70,0.65,0.50,0.0464,0.1802,0.8805,0.1133,1121
LLM-Mem-NoSS,0.70,0.70,0.50,0.0169,0.1802,0.4434,0.1133,1121
LLM-Mem-NoSS,0.70,0.75,0.50,0.0169,0.1802,0.4434,0.1133,1121
LLM-Mem-NoSS,0.70,0.80,0.50,0.0169,0.1802,0.4434,0.1133,1121
LLM-NoMem-SS,0.50,0.50,0.50,0.0517,0.2810,0.9117,0.0946,1121
LLM-NoMem-SS,0.50,0.55,0.50,0.0508,0.2810,0.8974,0.0946,1121
LLM-NoMem-SS,0.50,0.60,0.50,0.0508,0.2810,0.8974,0.0946,1121
LLM-NoMem-SS,0.50,0.65,0.50,0.0508,0.2810,0.8974,0.0946,1121
LLM-NoMem-SS,0.50,0.70,0.50,0.0169,0.2810,0.4603,0.0946,1121
LLM-NoMem-SS,0.50,0.75,0.50,0.0169,0.2810,0.4603,0.0946,1121
LLM-NoMem-SS,0.50,0.80,0.50,0.0169,0.2810,0.4603,0.0946,1121
LLM-NoMem-SS,0.55,0.50,0.50,0.0473,0.2409,0.9117,0.0946,1121
LLM-NoMem-SS,0.55,0.55,0.50,0.0464,0.2409,0.8974,0.0946,1121
LLM-NoMem-SS,0.55,0.60,0.50,0.0464,0.2409,0.8974,0.0946,1121
LLM-NoMem-SS,0.55,0.65,0.50,0.0464,0.2409,0.8974,0.0946,1121
LLM-NoMem-SS,0.55,0.70,0.50,0.0161,0.2409,0.4603,0.0946,1121
LLM-NoMem-SS,0.55,0.75,0.50,0.0161,0.2409,0.4603,0.0946,1121
LLM-NoMem-SS,0.55,0.80,0.50,0.0161,0.2409,0.4603,0.0946,1121
LLM-NoMem-SS,0.60,0.50,0.50,0.0428,0.2061,0.9117,0.0946,1121
LLM-NoMem-SS,0.60,0.55,0.50,0.0419,0.2061,0.8974,0.0946,1121
LLM-NoMem-SS,0.60,0.60,0.50,0.0419,0.2061,0.8974,0.0946,1121
LLM-NoMem-SS,0.60,0.65,0.50,0.0419,0.2061,0.8974,0.0946,1121
LLM-NoMem-SS,0.60,0.70,0.50,0.0152,0.2061,0.4603,0.0946,1121
LLM-NoMem-SS,0.60,0.75,0.50,0.0152,0.2061,0.4603,0.0946,1121
LLM-NoMem-SS,0.60,0.80,0.50,0.0152,0.2061,0.4603,0.0946,1121
LLM-NoMem-SS,0.65,0.50,0.50,0.0401,0.1757,0.9117,0.0946,1121
LLM-NoMem-SS,0.65,0.55,0.50,0.0393,0.1757,0.8974,0.0946,1121
LLM-NoMem-SS,0.65,0.60,0.50,0.0393,0.1757,0.8974,0.0946,1121
LLM-NoMem-SS,0.65,0.65,0.50,0.0393,0.1757,0.8974,0.0946,1121
LLM-NoMem-SS,0.65,0.70,0.50,0.0143,0.1757,0.4603,0.0946,1121
LLM-NoMem-SS,0.65,0.75,0.50,0.0143,0.1757,0.4603,0.0946,1121
LLM-NoMem-SS,0.65,0.80,0.50,0.0143,0.1757,0.4603,0.0946,1121
LLM-NoMem-SS,0.70,0.50,0.50,0.0384,0.1499,0.9117,0.0946,1121
LLM-NoMem-SS,0.70,0.55,0.50,0.0375,0.1499,0.8974,0.0946,1121
LLM-NoMem-SS,0.70,0.60,0.50,0.0375,0.1499,0.8974,0.0946,1121
LLM-NoMem-SS,0.70,0.65,0.50,0.0375,0.1499,0.8974,0.0946,1121
LLM-NoMem-SS,0.70,0.70,0.50,0.0143,0.1499,0.4603,0.0946,1121
LLM-NoMem-SS,0.70,0.75,0.50,0.0143,0.1499,0.4603,0.0946,1121
LLM-NoMem-SS,0.70,0.80,0.50,0.0143,0.1499,0.4603,0.0946,1121
Rule-SS,0.50,0.50,0.50,0.0839,0.9955,0.1365,0.6735,1121
Rule-SS,0.50,0.55,0.50,0.0731,0.9955,0.1160,0.6735,1121
Rule-SS,0.50,0.60,0.50,0.0731,0.9955,0.1160,0.6735,1121
Rule-SS,0.50,0.65,0.50,0.0731,0.9955,0.1160,0.6735,1121
Rule-SS,0.50,0.70,0.50,0.0473,0.9955,0.0847,0.6735,1121
Rule-SS,0.50,0.75,0.50,0.0473,0.9955,0.0847,0.6735,1121
Rule-SS,0.50,0.80,0.50,0.0473,0.9955,0.0847,0.6735,1121
Rule-SS,0.55,0.50,0.50,0.0839,0.9955,0.1365,0.6735,1121
Rule-SS,0.55,0.55,0.50,0.0731,0.9955,0.1160,0.6735,1121
Rule-SS,0.55,0.60,0.50,0.0731,0.9955,0.1160,0.6735,1121
Rule-SS,0.55,0.65,0.50,0.0731,0.9955,0.1160,0.6735,1121
Rule-SS,0.55,0.70,0.50,0.0473,0.9955,0.0847,0.6735,1121
Rule-SS,0.55,0.75,0.50,0.0473,0.9955,0.0847,0.6735,1121
Rule-SS,0.55,0.80,0.50,0.0473,0.9955,0.0847,0.6735,1121
