fname,sonyc_file,librispeech_file,script,label1_sonyc,label1_audioset,label2_sonyc,label2_audioset
260-123288-0010__01_010265.wav,01_010265.wav,260-123288-0010.flac,ON THE MAST ALREADY I SEE THE LIGHT PLAY OF A LAMBENT SAINT ELMO'S FIRE THE OUTSTRETCHED SAIL CATCHES NOT A BREATH OF WIND AND HANGS LIKE A SHEET OF LEAD,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
260-123286-0002__01_002740.wav,01_002740.wav,260-123286-0002.flac,ALL MY DANGER AND SUFFERINGS WERE NEEDED TO STRIKE A SPARK OF HUMAN FEELING OUT OF HIM BUT NOW THAT I AM WELL HIS NATURE HAS RESUMED ITS SWAY,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
2300-131720-0030__01_008914.wav,01_008914.wav,2300-131720-0030.flac,THE PRINCIPLE EMPLOYED IN THE EDISON ELECTROLYTIC METER IS THAT WHICH EXEMPLIFIES THE POWER OF ELECTRICITY TO DECOMPOSE A CHEMICAL SUBSTANCE,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
8463-294825-0003__01_007429.wav,01_007429.wav,8463-294825-0003.flac,NEMO BUILDS A FABULOUS FUTURISTIC SUBMARINE THE NAUTILUS THEN CONDUCTS AN UNDERWATER CAMPAIGN OF VENGEANCE AGAINST HIS IMPERIALIST OPPRESSOR,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
5683-32866-0013__01_011790.wav,01_011790.wav,5683-32866-0013.flac,THERE WAS A BRIGHT MOONLIGHT BROKEN BY THE SHADOWS OF OVERHANGING BOUGHS AND WITHERED LEAVES AND THE MOTTLED LIGHTS AND SHADOWS GLIDED ODDLY ACROSS HIS PALE FEATURES,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
5683-32865-0009__31_010140.wav,31_010140.wav,5683-32865-0009.flac,AND HE PLACED IT IN THAT GENTLEMAN'S FINGERS WHO NOW TOOK HIS TURN AT THE LAMP AND CONTEMPLATED THE LITTLE PARALLELOGRAM WITH A GLEAM OF SLY AMUSEMENT,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
2961-960-0020__01_012060.wav,01_012060.wav,2961-960-0020.flac,AND HENCE WE FIND THE SAME SORT OF CLUMSINESS IN THE TIMAEUS OF PLATO WHICH CHARACTERIZES THE PHILOSOPHICAL POEM OF LUCRETIUS,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
6930-76324-0028__01_009734.wav,01_009734.wav,6930-76324-0028.flac,WELL I'M CONVINCED THAT THE BOARDED UP HOUSE MYSTERY HAPPENED NOT EARLIER THAN APRIL SIXTEENTH EIGHTEEN SIXTY ONE AND PROBABLY NOT MUCH LATER,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
121-127105-0000__04_010023.wav,04_010023.wav,121-127105-0000.flac,IT WAS THIS OBSERVATION THAT DREW FROM DOUGLAS NOT IMMEDIATELY BUT LATER IN THE EVENING A REPLY THAT HAD THE INTERESTING CONSEQUENCE TO WHICH I CALL ATTENTION,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
7127-75946-0012__01_008042.wav,01_008042.wav,7127-75946-0012.flac,THE NEWS CIRCULATED WITH THE RAPIDITY OF LIGHTNING DURING ITS PROGRESS IT KINDLED EVERY VARIETY OF COQUETRY DESIRE AND WILD AMBITION,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
8555-284449-0012__31_010178.wav,31_010178.wav,8555-284449-0012.flac,I'LL GLADLY DO THAT PROMISED THE NEW BOOLOOROO AND I'LL FEED THE HONORABLE GOAT ALL THE SHAVINGS AND LEATHER AND TIN CANS HE CAN EAT BESIDES THE GRASS,8_dog_presence,Dog,7-1_person-or-small-group-talking_presence,Speech
